"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"MKG113","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","10.479","4.292","1.001","2.134","3.1","1.514","0.241","0.125","0.038","0.076",""
"UVL124","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","4.758","3.147","2.062","1.714","3.748","1.518","","","","",""
"CAD150","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","1.828","4.176","0.31","1.295","1.585","1.272","","","","",""
"MCK231","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.814","1.51","0.84","0.976","1.801","0.675","0.248","0.085","0.037","0.071","0.047"
"HWF187","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.19","0.531","0.193","0.232","0.421","0.212","0.067","0.047","0.015","0.034","0.044"
"ABT147","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","","","","","","","","","","",""
"CHA467","1995.0","01/03/1995 09:00:00","01/02/1996 08:00:00","1.553","1.17","0.24","0.572","0.803","0.383","","","","",""
"VIN140","1995.0","01/03/1995 09:00:00","01/02/1996 08:00:00","11.267","5.305","2.574","2.309","4.846","2.175","","","","",""
"NCS415","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","","","","","","","","","","",""
"ASH135","1996.0","01/02/1996 09:00:00","12/31/1996 08:00:00","","","","","","","","","","",""
"YEL408","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.682","0.477","0.175","0.199","0.371","0.195","0.079","0.029","0.013","0.021","0.019"
"EVE419","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","1.043","2.763","1.269","0.481","1.742","0.386","0.329","1.355","0.187","0.127",""
"VOY413","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.729","1.186","0.509","0.455","0.957","0.467","0.135","0.051","0.034","0.061","0.036"
"CND125","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.587","1.191","0.459","0.735","1.182","0.412","0.102","0.188","0.037","0.073","0.086"
"PAR107","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.174","2.093","0.469","0.559","1.019","0.745","0.345","0.07","0.032","0.078","0.049"
"CKT136","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.54","1.081","0.478","0.704","1.17","0.444","0.147","0.069","0.027","0.058","0.035"
"CAN407","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.587","0.725","0.252","1.002","1.238","0.24","","","","",""
"YOS404","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.423","0.777","0.455","0.909","1.349","0.325","0.117","0.105","0.027","0.048",""
"ACA416","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","1.823","1.875","0.502","0.81","1.299","0.463","0.055","0.39","0.05","0.068",""
"SHN418","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","8.0","5.075","0.449","2.948","3.349","1.545","","","","",""
"GTH161","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.184","0.328","0.099","0.158","0.254","0.122","0.087","0.022","0.014","0.019","0.014"
"YOS404","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.482","0.792","0.59","0.972","1.547","0.362","","","","",""
