"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"GAS153","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.476","0.864","0.464","0.591","1.045","0.345","0.079","0.137","0.024","0.056","0.074"
"PIN414","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.339","1.092","0.832","0.59","1.413","0.21","0.171","0.754","0.116","0.068","0.604"
"HOX148","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","1.278","1.538","1.925","0.415","2.333","0.975","0.129","0.122","0.036","0.045","0.083"
"BAS601","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","","","","","","","","","","",""
"MKG113","1995.0","WI","11/29/1994 09:00:00","02/28/1995 08:00:00","20.846","3.361","2.467","1.758","4.197","1.552","","","","",""
"WEL149","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","1.996","4.813","0.202","1.92","2.091","1.503","","","","",""
"PRK134","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","1.809","1.738","3.267","0.362","3.623","1.408","0.174","0.229","0.046","0.075","0.228"
"WSP144","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.722","1.072","2.178","0.771","2.937","0.808","0.144","0.356","0.036","0.063","0.324"
"RCK163","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","0.346","1.118","1.909","0.213","2.119","0.72","","","","",""
"BBE401","1998.0","WI","12/02/1997 09:00:00","03/03/1998 08:00:00","1.149","1.126","0.25","0.581","0.821","0.363","","","","",""
"WEL149","1997.0","SU","06/03/1997 09:00:00","09/02/1997 08:00:00","1.934","3.71","0.243","1.615","1.832","1.155","","","","",""
"BVL130","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","0.499","1.634","0.507","1.296","1.783","0.545","0.471","0.055","0.107","0.104","0.033"
"BBE401","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","0.865","2.442","0.568","0.817","1.373","0.709","0.521","0.193","0.046","0.051","0.021"
"BEL116","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","5.968","6.775","0.289","2.714","2.96","2.275","0.21","0.092","0.045","0.084",""
"GAS153","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.265","1.134","0.221","0.609","0.821","0.352","0.102","0.136","0.034","0.082","0.049"
"HWF187","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.261","1.386","0.061","0.26","0.317","0.479","0.068","0.014","0.014","0.063","0.032"
"MKG113","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","13.385","3.384","1.868","1.998","3.834","1.421","0.169","0.27","0.029","0.055","0.095"
"GTH161","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.113","0.211","0.059","0.122","0.18","0.087","0.028","0.009","0.005","0.007","0.013"
"CDR119","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.667","1.316","0.64","0.739","1.367","0.572","0.119","0.064","0.018","0.047","0.043"
"GRC474","1997.0","SU","06/03/1997 09:00:00","09/02/1997 08:00:00","0.372","1.026","0.344","0.88","1.21","0.331","","","","",""
"LAV410","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","","","","","","","","","","",""
"FOR605","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.303","0.31","0.142","0.267","0.404","0.121","0.079","0.031","0.013","0.018","0.016"
"STK138","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.547","0.953","0.623","0.812","1.422","0.35","0.815","0.022","0.218","0.095","0.034"
"PAR107","1991.0","WI","12/04/1990 09:00:00","02/26/1991 08:00:00","18.517","3.348","0.934","1.194","2.108","0.919","","","","",""
"CTH110","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","3.833","4.767","0.289","1.741","2.002","1.479","0.167","0.033","0.027","0.052",""
"GRC474","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.292","1.039","0.42","0.938","1.343","0.335","0.3","0.152","0.055","0.061","0.056"
"SHN418","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.247","0.998","0.19","0.628","0.809","0.384","0.144","0.041","0.027","0.055","0.032"
"QAK172","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","27.28","3.921","2.182","3.59","5.715","1.744","0.181","0.16","0.036","0.056",""
"ALH157","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","7.469","7.874","1.045","4.128","5.107","2.872","","","","",""
"ALH157","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","9.989","9.788","0.989","3.498","4.432","3.299","","","","",""
"DEV412","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","","","","","","","","","","",""
"EVE419","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","0.643","2.222","1.352","0.425","1.77","0.393","0.277","1.338","0.18","0.135","1.38"
"YOS404","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","0.794","1.253","0.366","1.534","1.876","0.475","0.109","0.141","0.033","0.066",""
"ESP127","1999.0","WI","12/01/1998 09:00:00","03/02/1999 08:00:00","6.259","3.315","0.633","2.073","2.672","1.175","","","","",""
"GRS420","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","1.038","1.204","0.443","1.043","1.469","0.463","0.108","0.055","0.015","0.035","0.021"
"CDR119","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.463","2.605","0.065","0.416","0.475","0.86","0.094","0.031","0.021","0.078","0.033"
"THR422","2012.0","SU","05/29/2012 09:00:00","09/04/2012 08:00:00","0.66","0.911","0.281","0.802","1.07","0.326","0.487","0.034","0.079","0.069","0.015"
"ANA115","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","7.333","2.524","3.807","1.153","4.942","1.716","","","","",""
"BFT142","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","2.425","2.197","1.125","0.758","1.871","0.767","0.113","0.585","0.074","0.062","0.449"
"KIC003","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.509","1.849","0.987","0.524","1.503","0.403","1.919","0.108","0.071","0.102","0.065"
"PIN414","2012.0","SU","05/29/2012 09:00:00","09/04/2012 08:00:00","0.374","1.081","0.902","0.764","1.653","0.19","0.172","0.77","0.118","0.078","0.59"
"WNC429","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.234","0.586","0.265","0.629","0.884","0.254","0.518","0.022","0.049","0.072","0.014"
"UVL124","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","4.792","1.946","3.964","0.901","4.851","1.634","0.303","0.173","0.05","0.047",""
"ROM206","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","0.169","0.277","0.107","0.186","0.29","0.123","0.027","0.012","0.004","0.008","0.013"
"LYK123","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","4.922","6.748","1.002","3.939","4.927","2.189","","","","",""
"VPI120","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","4.695","7.733","0.216","2.303","2.482","1.972","0.217","0.055","0.035","0.067",""
"GAS153","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","1.666","1.671","0.594","0.85","1.43","0.618","0.094","0.22","0.034","0.064","0.118"
"WSP144","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.795","2.234","0.292","1.334","1.605","0.711","0.149","0.133","0.043","0.082","0.048"
"BWR139","2012.0","SU","05/29/2012 09:00:00","09/04/2012 08:00:00","2.015","3.014","0.473","1.509","1.958","0.983","0.147","0.312","0.06","0.08","0.104"
"PAR107","2007.0","WI","11/28/2006 09:00:00","02/27/2007 08:00:00","7.569","2.279","0.923","1.024","1.93","0.604","0.443","0.131","0.039","0.112","0.094"
"LRL117","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","6.437","9.257","0.06","1.203","1.244","2.741","0.13","0.026","0.022","0.07","0.031"
"IRL141","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","2.939","2.3","1.439","0.335","1.769","0.472","0.229","1.846","0.259","0.134","3.377"
"LAV410","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.119","0.134","0.055","0.098","0.152","0.058","0.02","0.02","0.005","0.009","0.031"
"OXF122","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","1.049","1.286","3.242","0.568","3.802","1.213","0.227","0.17","0.04","0.055","0.162"
"CND125","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","2.736","6.733","0.312","1.994","2.274","2.205","0.1","0.158","0.036","0.091",""
"CAN407","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","0.289","0.454","0.375","0.701","1.065","0.181","0.18","0.074","0.023","0.049","0.069"
"ESP127","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","3.056","2.332","1.21","1.179","2.371","1.017","0.163","0.171","0.033","0.068","0.064"
"CAT175","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","2.578","5.598","0.075","1.88","1.925","1.665","0.153","0.043","0.033","0.049","0.028"
"ROM206","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.259","0.482","0.187","0.504","0.682","0.205","0.167","0.037","0.023","0.046","0.014"
"PBF129","1989.0","WI","11/29/1988 09:00:00","02/28/1989 08:00:00","19.38","3.249","1.493","2.195","3.653","1.357","0.25","0.11","0.042","0.146",""
"ROM406","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","0.698","0.826","0.343","1.011","1.338","0.351","0.257","0.035","0.028","0.055",""
"CND125","1997.0","SU","06/03/1997 09:00:00","09/02/1997 08:00:00","2.904","7.248","0.264","2.302","2.529","2.279","","","","",""
"CTH110","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","2.475","1.456","1.53","0.547","2.067","0.831","0.106","0.181","0.021","0.042","0.123"
"ROM406","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","0.305","0.411","0.24","0.314","0.549","0.207","0.036","0.017","0.005","0.009",""
"ASH135","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.778","0.994","0.473","0.294","0.762","0.381","0.066","0.165","0.024","0.086","0.146"
"WEL149","1996.0","SU","06/04/1996 09:00:00","09/03/1996 08:00:00","","","","","","","","","","",""
"PSU106","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.375","1.297","0.231","0.69","0.91","0.48","0.238","0.043","0.042","0.071","0.036"
"GTH161","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","0.143","0.213","0.05","0.153","0.201","0.084","0.017","0.007","0.003","0.005","0.013"
"WEL149","1989.0","SU","05/30/1989 09:00:00","08/29/1989 08:00:00","2.84","6.72","0.429","1.832","2.232","2.148","0.27","0.062","0.078","0.19",""
"PND165","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.188","0.485","0.102","0.368","0.464","0.206","0.108","0.031","0.016","0.029","0.013"
"CND125","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","7.324","2.757","1.293","2.08","3.34","1.299","0.09","0.071","0.018","0.059",""
"WSP144","1992.0","SU","06/02/1992 09:00:00","09/01/1992 08:00:00","5.085","7.302","0.367","3.867","4.172","2.297","","","","",""
"RED004","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.627","1.22","1.439","0.169","1.606","0.726","0.124","0.178","0.045","0.035","0.186"
"CDR119","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","16.972","4.295","0.384","1.795","2.15","1.158","","","","",""
"PNF126","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","1.639","6.713","0.093","1.443","1.514","1.73","0.107","0.072","0.027","0.062",""
"PND165","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","","","","","","","","","","",""
"HWF187","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.331","0.746","0.731","0.319","1.045","0.415","0.056","0.083","0.014","0.033","0.047"
"UVL124","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.713","0.922","0.336","1.081","1.399","0.372","0.317","0.022","0.062","0.071","0.033"
"SPD111","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","2.019","6.407","0.099","1.178","1.258","1.936","0.512","0.044","0.044","0.105","0.032"
"THR422","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","1.269","0.857","0.986","0.409","1.388","0.448","0.194","0.098","0.031","0.025","0.087"
"CND125","1991.0","WI","12/04/1990 09:00:00","02/26/1991 08:00:00","8.648","3.341","0.948","2.211","3.125","1.324","","","","",""
"WST109","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.235","1.319","0.065","0.257","0.317","0.465","0.049","0.016","0.012","0.064","0.033"
"BBE401","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","1.077","1.97","0.401","0.609","1.0","0.614","0.366","0.087","0.024","0.035",""
"CAD150","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","1.324","4.808","0.211","1.612","1.797","1.451","0.218","0.256","0.06","0.131",""
"UIN162","1992.0","SU","06/02/1992 09:00:00","09/01/1992 08:00:00","0.249","0.795","0.159","0.499","0.65","0.292","","","","",""
"KEF112","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","5.269","7.162","0.073","2.168","2.206","1.826","","","","",""
"UMA009","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.098","0.158","0.253","0.114","0.365","0.119","0.022","0.037","0.007","0.028","0.035"
"DCP114","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","4.381","6.452","0.406","2.515","2.881","2.129","0.278","0.037","0.068","0.1","0.033"
"WST109","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","1.709","1.554","0.293","0.563","0.847","0.507","0.031","0.161","0.011","0.033","0.056"
"PIN414","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.273","1.07","0.737","0.6","1.327","0.214","0.144","0.668","0.101","0.067","0.491"
"KIC003","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","","","","","","","","","","",""
"STK138","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","3.441","5.943","1.787","3.123","4.86","2.178","","","","",""
"CDZ171","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.474","1.585","0.298","0.827","1.111","0.504","0.288","0.087","0.045","0.099","0.034"
"GRC474","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","0.242","0.984","0.243","0.96","1.188","0.316","","","","",""
"WST109","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.278","0.527","0.435","0.233","0.665","0.223","0.048","0.251","0.019","0.049","0.265"
"ACA416","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","","","","","","","","","","",""
"KIC003","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.41","1.352","0.858","0.599","1.447","0.37","2.177","0.064","0.064","0.093","0.019"
"MAC426","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.296","1.299","0.198","0.769","0.955","0.392","0.208","0.061","0.038","0.092","0.035"
"CKT136","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.716","1.339","0.978","1.21","2.168","0.66","0.138","0.063","0.02","0.044","0.036"
"WFM105","1988.0","SU","05/31/1988 09:00:00","08/30/1988 08:00:00","2.3","5.16","0.222","1.656","1.851","","","","","",""
"QAK172","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","5.385","5.305","0.306","1.504","1.786","1.704","0.414","0.044","0.083","0.103","0.038"
"BEL116","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.758","1.076","1.578","0.724","2.29","0.697","0.154","0.198","0.027","0.052","0.187"
"CHA467","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.423","1.37","0.325","0.833","1.145","0.453","0.277","0.111","0.037","0.066","0.034"
"ALH157","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","16.468","3.957","4.582","0.908","5.476","2.715","","","","",""
"PAR107","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","2.823","1.867","0.841","0.616","1.447","0.676","0.452","0.117","0.033","0.09","0.091"
"CDZ171","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.446","1.406","0.231","0.744","0.964","0.445","0.234","0.078","0.037","0.079","0.04"
"ALH157","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","12.228","3.282","3.543","1.148","4.673","1.937","","","","",""
"JOT403","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.195","0.282","0.514","0.665","1.169","0.171","0.14","0.084","0.021","0.025","0.033"
"IRL141","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","1.928","2.792","1.644","0.399","2.037","0.531","0.387","1.83","0.277","0.142","2.708"
"GRB411","1997.0","SU","06/03/1997 09:00:00","09/02/1997 08:00:00","0.264","0.768","0.271","0.845","1.103","0.262","","","","",""
